Title: Memories.ai Internal Meeting — AI_Applications_Meeting_ML_Video_Indexing
Video ID: VI721959518299992065
Date: 2026-06-16
[00:05:40] 他只能支持顶勾
[00:05:41] 因为14张图
[00:05:43] 然后这里面其实就是我们跟他们接触路线
[00:05:46] 比较有优势的地方
[00:05:47] 就到底是为多少张图
[00:05:49] 他能够回答这个问题
[00:05:51] 这个我觉得就是对着我是重点关注的一个
[00:05:54] 我们能不能就是早点跟他们就是
[00:05:56] 把这些东西都定下来
[00:05:57] 就说反正你们就给我们
[00:06:00] 让他们一直抓你们测一测
[00:06:01] 没测一测
[00:06:01] 那再测我什么手啊
[00:06:04] 是啊这个其实就是他们给的信息也也不够全
[00:06:09] 他们我我我问个问题
[00:06:10] 他们是意思就是说我们
[00:06:12] 要帮他们把这些东西所有东西
[00:06:15] 性能他都达到了
[00:06:17] 他才愿意签这个东西吗
[00:06:19] 因为他已经签了
[00:06:20] 只不过我不想我不想到时候说不清楚
[00:06:24] 你懂我意思吗
[00:06:26] 什么要说不清楚
[00:06:27] 就是他们觉得我们交付了
[00:06:28] 但是他们觉得我们有些东西交付
[00:06:32] 所以就是最好现在就把所有东西给弄出
[00:06:36] 我我们现在能做的就是指标上的东西给他们
[00:06:39] 对啊对啊
[00:06:40] 就是早点把这些指标给定下来嘛
[00:06:42] 嗯
[00:06:47] 像
[00:06:48] 就是前面那几个小模型我倒不担心
[00:06:53] 问题就是呃那个机案
[00:06:57] 他们其实一开始的最大的针对也在这
[00:07:02] 这个要去好好研究一下
[00:07:03] 就是但是就是研究一下那个数据
[00:07:06] 不到底是多少的复杂度
[00:07:10] 这个我觉得是这个嗯
[00:07:12] 反正周四开会之前我我看一下能不能给个结论
[00:07:16] 就是他模型全部加载这些东西
[00:07:19] 只要
[00:07:20] 就是内存的问题
[00:07:21] 然后这个节码呃能不能保证他那个性能
[00:07:25] 因为我目前还是相当于是降了我的关键帧数
[00:07:30] 又呃降了关键帧数来的测
[00:07:34] 这个跟他们服就是他们其实希望希望我们达到他们服务器上的那个体验
[00:07:41] 嗯
[00:07:42] 我听下来是的
[00:07:43] 但是端测的先就是肯定是要调点
[00:07:47] 他就是看这等于是去探一下他们这个调点
[00:07:50] 他们能接受多少
[00:07:51] 嗯
[00:07:51] 他们完全做不了
[00:07:54] 那就是我们主打就告诉你这个东西能做
[00:07:57] 但是比你的要求进度可能差一点点
[00:08:00] 你差个五个点
[00:08:01] 我觉得他们也也没什么办法
[00:08:03] 因为目前你其他你也没什么好的方案啊
[00:08:08] 对不对嗯
[00:08:16] 嗯
[00:08:17] 我上次做的第一件事就是我们之前一个视频的一个downloader
[00:08:20] 那个那个显货我们发出来上下货我们会发现改的
[00:08:23] 然后然后配置了一下
[00:08:25] 有这样的问题就是
[00:08:26] 这样的这样的功能就是我们把
[00:08:29] 呃不是那个呃
[00:08:31] 呃
[00:08:31] 那个stream的stream的解析跟环境作业分工
[00:08:34] 然后我们俩更开始做了一部分
[00:08:36] 然后这周把差不多算的工程都差不多
[00:08:39] 就这周把剩余的工程量差不多写完
[00:08:42] 然后下周可能连条连两天差不多就ok了
[00:08:44] 啊
[00:08:44] 不是啊
[00:08:45] 顺便啊
[00:08:46] 我跟环境那个stream的他他我们俩做了一个分工系统架构成的这个综合
[00:08:49] 他写普爱的我写很秀
[00:08:51] 嗯
[00:08:52] 他们都没想开两个会
[00:08:57] 然后突然东西就尝试之后失败了
[00:09:01] 然后
[00:09:04] 然后这周的话就是
[00:09:07] 嗯
[00:09:07] 你能不能讲还会
[00:09:09] 看见其他的意义
[00:09:15] 嗯
[00:09:19] 我这边的话上周是
[00:09:21] 嗯
[00:09:22] 录取那个agent他已经上了
[00:09:23] 然后ag也上了
[00:09:26] 嗯
[00:09:26] 联想的就是测试指标还有运输指标也给他们了
[00:09:30] 嗯
[00:09:31] 然后本周的话就是继续app设计的
[00:09:33] 然后如果说嗯
[00:09:36] 有设计的话到时候我们就可以一起可以动上来的
[00:09:41] 嗯
[00:09:42] 有啊
[00:09:44] 哎
[00:09:44] 谢谢
[00:09:45] 嗯
[00:09:47] 我发现我们这里是做一个两个那个就是一个sql
[00:09:51] 然后这两天做完就是我们特地层
[00:09:54] 但是我上次那个温暖麦克风
[00:09:57] 我做了
[00:09:58] 就这样
[00:09:59] 嗯
[00:10:00] 嗯
[00:10:00] 然后我这边就是那个Stream流Indexing那个Providers的部分
[00:10:05] 我现在在写
[00:10:06] 然后我大概周三给个红一版
[00:10:09] 一些然后我把它再去接
[00:10:11] 大概要到下周一才能把
[00:10:14] 把整个流程串起来
[00:10:15] 然后才开始测试
[00:10:18] 我刚才A鸣说我预计要到下周四周五的时候
[00:10:21] 你看到了吗
[00:10:22] 10号是几号来着
[00:10:24] 那我先给A鸣看一下这个效果
[00:10:28] 对
[00:10:30] 25号
[00:10:31] 25号左右才能给你看到这个效果
[00:10:34] 大概是这个时间
[00:10:39] 两周左右
[00:10:40] 几号了
[00:10:47] 几号了
[00:10:49] A鸣你们也要等一下
[00:10:50] 然后我待会也要等一下
[00:10:52] 嗯
[00:10:54] 我这里
[00:10:57] 那个那个
[00:10:58] Industry Desktop这边就把
[00:11:01] 嗯
[00:11:02] 把那个Connection的问题解决了
[00:11:04] 接近后也可以试一下
[00:11:06] 之前好像做Connection的时候
[00:11:08] 那个Refresh Tool其实没有用起来
[00:11:10] 用起来之后
[00:11:11] 它应该不会转
[00:11:12] 对
[00:11:13] 有很久吗
[00:11:14] 它大概是一年吧
[00:11:16] 一般来说就是20多个人
[00:11:18] 每个一年
[00:11:19] 我看那时候给的都是一年
[00:11:21] 啊
[00:11:22] 315天才会试一下
[00:11:23] 啊
[00:11:26] 然后
[00:11:27] 啊
[00:11:28] 所有过的那个RefreshTool后台
[00:11:30] 都是切到几个阶
[00:11:32] 就是你们可以写个不靠
[00:11:35] 然后后面给他
[00:11:36] 都切到几个阶了
[00:11:37] 因为我们改的这么靠
[00:11:39] 啊
[00:11:40] 对
[00:11:41] 想尼泡设了一个这个Zoe的那个管理
[00:11:43] 对
[00:11:44] 不论切什么都行
[00:11:45] 都是GPT的意思
[00:11:46] 然后
[00:11:53] 呃
[00:11:54] Transcoder我加了一次动力监控
[00:11:57] 然后
[00:11:58] 上周
[00:11:59] 可能是两周吧
[00:12:00] 大概有四次
[00:12:02] 啊
[00:12:03] 失败
[00:12:04] 但是失败不是Transcoder的问题
[00:12:06] 我看了一下
[00:12:07] 有人上传那个文件
[00:12:09] 好像是
[00:12:11] 我还是从前端上传的
[00:12:13] 可能是两个地方
[00:12:14] 呃
[00:12:15] 这也有上传的那个文件会换
[00:12:18] 就好像文件上传一半了
[00:12:20] 那个文件
[00:12:21] P4文件本身是损坏了
[00:12:22] 所以导致我的Transcoder给它拦住了
[00:12:25] 所以四次失败都是因为这个原因
[00:12:27] 其他我这里应该愿意
[00:12:35] Eddie
[00:12:43] 好
[00:12:47] 今天啊
[00:12:48] 感谢我们
[00:12:49] 在今天之后
[00:12:50] 出走我们就是
[00:12:52] 呃
[00:12:53] 将近
[00:12:55] 呃
[00:12:56] Jory还有何林这一些东西
[00:12:58] 然后
[00:12:59] Jory的比较完整
[00:13:00] 然后何林这边还比较
[00:13:02] 嗯很多东西还没完整
[00:13:04] 所以
[00:13:05] 然后
[00:13:06] 那个evaluation
[00:13:07] 现在就是说
[00:13:08] 嗯
[00:13:09] 刚开始也有跑一些数字
[00:13:11] 然后
[00:13:12] 那个
[00:13:13] 就是PhD有三个DataSet会接进来
[00:13:16] 还有
[00:13:17] Belling的模型也会接进来
[00:13:20] 然后
[00:13:21] 所以我们
[00:13:22] 接下来目标就是把这些数字
[00:13:24] 开始
[00:13:25] 呃
[00:13:26] 就是有两
[00:13:27] 目前有两个DataSet
[00:13:28] 所以
[00:13:29] 目前DataSet接进来
[00:13:30] 然后创法接进来
[00:13:31] 我们会
[00:13:32] 呃
[00:13:33] 把这些分析的一些结果
[00:13:34] 陆续
[00:13:35] 呃
[00:13:36] 生出来这样子
[00:13:37] 包含Evaluation结果
[00:13:38] 跟Cost Estimation结果
[00:13:40] 对
[00:13:41] 然后
[00:13:42] 这个LVMM AI Studio这边
[00:13:44] 就是
[00:13:45] Cell of Improving的这边
[00:13:47] 嗯
[00:13:48] 上周上一两周
[00:13:49] 主要就是把这些规划弄好
[00:13:51] 所以
[00:13:52] 呃
[00:13:53] 现在映泽
[00:13:54] 跟这个
[00:13:55] 佩兰这边也开始
[00:13:56] 啊
[00:13:57] 弄了
[00:13:58] 对
[00:13:59] 所以这边应该是算刚开始
[00:14:00] AI Studio这边刚开始
[00:14:01] 对
[00:14:02] 对
[00:14:13] 然后我这边update一下
[00:14:14] 就是
[00:14:15] 就是
[00:14:16] 呃
[00:14:17] 第一个是之前Microsoft Build大会
[00:14:19] 那个微软CEO
[00:14:21] 大家看到了
[00:14:22] 他在讲的时候
[00:14:23] 那个那个前
[00:14:24] 前
[00:14:25] 前刚刚两分钟
[00:14:26] 然后后面一个大的logo墙
[00:14:27] 然后中间就logo
[00:14:28] 那个还挺牛逼的
[00:14:30] 那个我都不知道
[00:14:32] 是是是非分析发现的
[00:14:34] 我觉得那个还是牛逼
[00:14:35] 然后然后
[00:14:36] 然后
[00:14:37] 然后那个主要还是因为
[00:14:39] 嗯
[00:14:40] 嗯
[00:14:41] 给他们发了个饼
[00:14:42] 然后Eddie也给他们发了个饼
[00:14:43] 让他们觉得我们做的东西挺牛的
[00:14:45] 然后
[00:14:46] 所以那个Lucy desktop
[00:14:47] 后面会在Microsoft
[00:14:48] 那个
[00:14:49] 呃
[00:14:50] 商店上面去
[00:14:51] 呃
[00:14:52] 上
[00:14:53] 上上上下
[00:14:54] 然后
[00:14:55] 啊
[00:14:56] AMD也因为看到那个东西
[00:14:57] 觉得我们很有
[00:14:58] 然后现在也想跟我们一起合作
[00:14:59] 对
[00:15:00] 对
[00:15:03] 所以我们后面也会有AMD的
[00:15:04] 那个
[00:15:05] 呃
[00:15:06] AMD的
[00:15:07] 这个合作资源
[00:15:08] neuro pilot
[00:15:09] 嗯
[00:15:10] 在那个neuro pilot
[00:15:11] 对对对对
[00:15:12] 对对对对
[00:15:13] 对对对对
[00:15:14] 然后这是第一个
[00:15:15] 另外一个的话就是
[00:15:16] 嗯
[00:15:17] 最近我们在跟
[00:15:18] 嗯
[00:15:19] 联想的那份
[00:15:20] 大家都知道
[00:15:21] 我们跟他已经
[00:15:22] 签了两个合同
[00:15:23] 然后
[00:15:24] 端次那个是第二个
[00:15:25] 嗯
[00:15:26] 第三合同正在签
[00:15:27] 第三合同就是
[00:15:28] 就是Lucy desktop的东西
[00:15:29] 嗯
[00:15:30] 然后
[00:15:31] 然后
[00:15:32] 最近有一家公司叫jill
[00:15:34] 啊
[00:15:35] 印度最大的电信公司
[00:15:36] 你们知道印度那个
[00:15:37] 非常
[00:15:38] 啊
[00:15:39] 高的那个印度首富
[00:15:40] 那个亚洲首富
[00:15:41] 亚洲首富
[00:15:42] 那个公司叫jill
[00:15:43] 然后他们前段时间来找我们
[00:15:45] 然后就希望我们把他们做
[00:15:47] 摄像头里面的视频
[00:15:48] 这个就是就是用到你们
[00:15:49] streaming的东西了
[00:15:50] 他们在摄像头的视频
[00:15:52] 然后全部给index一遍
[00:15:53] 然后你后面直接接plot
[00:15:55] 接下gpt
[00:15:56] 然后就可以随便问
[00:15:57] 就说啊
[00:15:58] 今天
[00:15:59] 嗯
[00:16:00] 今天有有多少人在划水
[00:16:01] 对吧
[00:16:02] 直接那个零零头电吧
[00:16:03] 对吧
[00:16:04] 今天多少人在划水
[00:16:05] 今天多少人
[00:16:06] 多少女的进来
[00:16:07] 多少男的进来
[00:16:08] 我应该关注一下
[00:16:09] 今天有没有人偷手机吗
[00:16:10] 对有没有有没有看手机
[00:16:11] 就是这员工多少人在看手机的时候
[00:16:13] 他们关注这些东西
[00:16:15] 这个问题是我们这个名单能做吗
[00:16:17] 因为只要你只要你能index的够好
[00:16:20] 你后面后面怎么去
[00:16:23] 就index的够好
[00:16:24] 搜的够准
[00:16:25] 然后那至于后面
[00:16:26] 他到底是怎么去看
[00:16:27] 怎么去搜
[00:16:28] 怎么说能报号
[00:16:29] 其实后面靠的事情
[00:16:30] 然后他们现在在跟我们去聊
[00:16:32] 这个这个这个
[00:16:34] 然后他本身poc是30万美金
[00:16:37] 然后他们现在在跟我们聊
[00:16:38] 10年的contract
[00:16:40] 当然我们不知道
[00:16:41] 他到底是不是在跟我们画饼
[00:16:42] 他们跟我们聊10年
[00:16:43] 看出来是是聊到了2500万美金
[00:16:49] 一个一笔就活了
[00:16:50] 一个一笔就黄金了
[00:16:52] 对
[00:16:54] 是的
[00:16:55] 印度最大的
[00:16:56] 他那个印度那么多人
[00:16:58] 他们好多摄像头
[00:16:59] 然后所以有可能我过
[00:17:00] 我过两周要去到印度
[00:17:01] 那我们不就是在帮印度做天网吗
[00:17:04] 对
[00:17:05] 印度零售
[00:17:06] 印度的这个这个这个电信也对
[00:17:08] 是的
[00:17:09] 非常多
[00:17:10] 非常多
[00:17:11] 可以的
[00:17:12] 可以的
[00:17:13] 是是是
[00:17:14] 然后
[00:17:15] 然后我们跟美国最大的联系公司
[00:17:17] 就是comcast
[00:17:18] 这个本来就一直做到合作
[00:17:19] 我们之前就进了comcast
[00:17:21] 那个初创
[00:17:23] 初创合作伙伴项目
[00:17:25] 我们的
[00:17:26] 然后我我去了非诚待了一周
[00:17:28] 然后comcast
[00:17:29] 就比如说那个universal studio
[00:17:31] 那主题公园
[00:17:32] 那主题公园
[00:17:34] 很久
[00:17:35] 对对对
[00:17:36] 以前就是他们旗下的
[00:17:38] 然后然后我们跟他们签了
[00:17:41] 正在签正在签
[00:17:42] 大概二十到二十多美金的poc
[00:17:47] 然后后面这个吗
[00:17:48] 对对对comcast
[00:17:49] 非常非常大的一家公司
[00:17:51] 哦
[00:17:52] 然后那个nbc货的后台
[00:17:54] 对对对对对对
[00:17:55] 然后然后
[00:17:56] 然后他们也有很多摄像头
[00:17:58] 就不管是环球影城
[00:17:59] 就是主题公园的摄像头
[00:18:00] 然后他们也有很多零售
[00:18:02] 安防这种摄像头
[00:18:03] 对
[00:18:05] 然后振兴的话
[00:18:11] 那个人已经在他们一个amd已经上线了
[00:18:15] 对
[00:18:16] 那就是那个数据的问题
[00:18:18] 对对对
[00:18:19] 然后最近还有一个就是卫竞委
[00:18:22] 卫竞委卫竞委卫竞委
[00:18:24] 他们就是对呀
[00:18:26] 国内的但是但是我们是通过一家中国的代理商去做的
[00:18:30] 嗯不是我们自己做
[00:18:32] 他们要做什么
[00:18:33] 他们是他们也是body cam
[00:18:35] 就是就是可能放在这里的一个那个那个
[00:18:40] 小区可上的一个对摄像头
[00:18:42] 然后去去去识别
[00:18:45] 去识别什么东西
[00:18:47] 我记得证明
[00:18:48] 反正就是去识别一些有的没的东西
[00:18:51] 他们是那个执法机构引发那个body cam
[00:18:54] 然后他们有专门的警察是专门负责卫生健康调查的
[00:18:59] 然后会去医院去去做一些调查之类的
[00:19:03] 他们会带着body cam
[00:19:04] 然后他们要负责审核这些执法人员的执法流程是正确的
[00:19:10] 对
[00:19:11] 大概每年有30个小时视频要审核
[00:19:14] 如果不自动化的话
[00:19:15] 就是人要去审
[00:19:16] 人要审
[00:19:17] 人要审是希望审不完的
[00:19:19] 所以他们要不就是审不完
[00:19:22] 要不就是要请人去审
[00:19:24] 这个是ROI
[00:19:26] 这个是什么办法
[00:19:28] 对对对对对
[00:19:30] 是啊
[00:19:31] 然后
[00:19:32] 然后还有什么
[00:19:37] 目前几个比较好的
[00:19:39] 我差不多是这么久了
[00:19:41] 然后
[00:19:42] 然后
[00:19:43] 然后
[00:19:56] 今天这一片在说第一 experiencia里肯定没问题
[00:19:58] 这是场景要找的
[00:19:59] sería la��
[00:20:01] 第一些原理就是拿到你所有的context
[00:20:05] 然后让AI能够更加
[00:20:09] 最近刚刚不是在学我在顺便也发了一个
[00:20:13] 最近又搞那个loop engineering
[00:20:16] 以前是harmless engineering
[00:20:17] 现在是loop engineering
[00:20:18] 然后让系统自动prompt AI
[00:20:20] 那其实就是你context想拿的多嘛
[00:20:22] 那怎么拿context
[00:20:23] 就是通过对吧
[00:20:24] 路径平台context
[00:20:25] 第一些原理我觉得都没问题
[00:20:26] 反正这要就是场景和
[00:20:30] 然后可能要解决一些什么
[00:20:32] 配搭人资这种问题
[00:20:35] 工厂的话就不需要了
[00:20:37] 对我觉得工厂会好很多
[00:20:39] 工厂啊
[00:20:40] 包括bodycam啊
[00:20:41] 这种工业场景会好很多
[00:20:42] 所以我们现在也更关注
[00:20:44] 更关注工业场景上的问题
[00:20:47] 细端消费者的话
[00:20:48] 我们觉得还没
[00:20:50] 还没看到一些特别大的机会
[00:20:52] 数字看完
[00:20:54] 数字看完
[00:20:55] 是是是
[00:20:56] 用豆包看完
[00:20:58] 那也是
[00:20:59] 细端没看到什么特别特别大的机会
[00:21:02] 主要还是
[00:21:03] 比较细微的比较多
[00:21:04] 所以所以微软
[00:21:05] 你看他们也出了一个电子公开
[00:21:07] 就这样
[00:21:08] 对你知道那个印度那个jill
[00:21:15] 嗯
[00:21:16] 他为什么就我说
[00:21:17] 我觉得我们就是想出来
[00:21:18] 要创公司嘛
[00:21:19] 为什么为什么
[00:21:20] 为什么找我们
[00:21:21] 是吧
[00:21:22] 他们说
[00:21:23] 印度的高通团队
[00:21:24] 对你们甚在有加
[00:21:25] 为什么印度高通团队
[00:21:27] 对我们甚在有加
[00:21:28] 因为我们跟印度
[00:21:29] 不是合作
[00:21:30] 跟高通不是合作
[00:21:31] 那个联系那个吗
[00:21:32] 哦
[00:21:33] 你讲传递吧
[00:21:34] 对对对
[00:21:35] 那是
[00:21:36] 那是
[00:21:38] 对
[00:21:39] 嗯
[00:21:42] 对就我今天出了一个旧计划稳定
[00:21:46] 是nda吗
[00:21:48] nda要签一下
[00:21:50] 嗯
[00:21:52] 是我我我签完就没什么
[00:21:55] 对应该可以吧
[00:21:56] 但是到我
[00:21:57] 我让我问一下路西
[00:21:58] 他他上面有提前写一些名字吗
[00:22:01] 嗯
[00:22:03] 没
[00:22:04] 那你就那就应该就你签吧
[00:22:05] 反正我我也签不了
[00:22:07] 我是要走人吗
[00:22:09] 还是要有机会去
[00:22:11] 呃
[00:22:12] 我待会问一下路西吧
[00:22:13] 我们待会问一下路西吧
[00:22:14] 嗯
[00:22:15] 嗯
[00:22:17] 嗯
[00:22:18] 哦
[00:22:32] 那个
[00:22:33] 那个5你们有用吗
[00:22:34] 现在不能用了
[00:22:36] 但是你们前几天
[00:22:37] 我用了
[00:22:38] 有什么是用的
[00:22:39] 我用了
[00:22:40] 我上周五还用了
[00:22:41] 但是
[00:22:42] 我现在切回来了
[00:22:43] 4.8
[00:22:44] 4.8现在特别慢
[00:22:45] 而且4.8胡说的
[00:22:47] 简直
[00:22:48] 哎呦
[00:22:49] 我我今天我今天翻了一下那个榜单
[00:22:52] 就是现在那个像openroot上面
[00:22:56] 它有一个pilot
[00:22:58] 就是这个pilot前面的吧
[00:22:59] 4.8是一个比较好的位置
[00:23:02] 但是我看实际用量里面
[00:23:04] 大家都还在让4.74.6
[00:23:06] 4.8现在有个问题就是他给我的回答
[00:23:09] 跟我的项目其实没有太大的关系
[00:23:11] 你你看看你是不是看他怎么改变
[00:23:14] 还是他就换一个
[00:23:15] 你就是换一个
[00:23:16] 那你叫降降4.7呢
[00:23:18] 我告诉你为什么
[00:23:19] 就是因为我在我开始的这个任务是用的
[00:23:23] 那个那个5
[00:23:25] 5
[00:23:26] 5
[00:23:27] 5对
[00:23:28] 然后我后来我换成了4.8
[00:23:30] 然后我没有我没有开新的新的规划
[00:23:34] 所以特别开始胡说了
[00:23:36] 好像那个推上推上有人说
[00:23:39] 推上有人说那个
[00:23:41] 跟我项目没关系
[00:23:44] 跟我项目没关系
[00:23:45] 你们把那个
[00:23:46] 你们把那个effort调得最大了
[00:23:48] 那个effort也好
[00:23:49] 你看一下是不是x
[00:23:51] 还有人说那个就是
[00:23:53] 飞波5就是
[00:23:54] Trump之后的4.8
[00:23:56] 然后实际上有人说他搞到了这个
[00:23:58] Trump
[00:23:59] 但是我没有看到谁放出来
[00:24:01] 是吧
[00:24:02] 就是就是time相当于是4.8
[00:24:04] 加一个Trump就行
[00:24:05] 是吧
[00:24:06] 一个12万token的Trump
[00:24:11] 这么夸张
[00:24:12] 我有看到
[00:24:14] 而且他默认放了一个12万token的Trump
[00:24:16] 在里面
[00:24:18] 飞波5
[00:24:21] 所以你们在用的时候可以把他那个
[00:24:24] 那个effort这个选项
[00:24:25] 他默认不是
[00:24:27] 飞波5不是调到最高
[00:24:29] 你用的时候可以要把那个
[00:24:30] 默认调到最高
[00:24:31] 我知道你的就是把它调到hig吗
[00:24:33] 我调了
[00:24:34] extra high
[00:24:35] 对
[00:24:37] 那如果
[00:24:38] 我看到最高是叫ultracode
[00:24:40] ultracode
[00:24:41] 我看
[00:24:44] 对
[00:24:45] 最新的版本
[00:24:46] 还真是
[00:24:47] 我调
[00:24:48] 我现在是最大最最最高
[00:24:52] 我问一下
[00:24:55] 到时候如果
[00:24:56] 就我们现在做了一个新的lucypin
[00:24:58] lucy1 class嘛
[00:24:59] 就新的品牌完全换掉
[00:25:00] 现在画质也好了很多
[00:25:01] 然后
[00:25:02] 嗯
[00:25:03] 然后然后可能一秒一帧的osr
[00:25:06] 模式
[00:25:07] 嗯
[00:25:08] 能做七到八个小时
[00:25:09] 嗯
[00:25:10] 嗯
[00:25:11] 然后录音的话可能差不多十几个小时
[00:25:13] 嗯
[00:25:16] 如果觉得就是
[00:25:17] 对于你们自己的产品就是
