Title: Memories.ai Internal Meeting — Google_Cloud_Startup_Day_2026_Hangzhou
Video ID: VI719819307465535489
Date: 2026-06-10
[00:06:13] 我把这个做完
[00:06:15] 那个重点
[00:06:16] 哎呦
[00:06:16] 我去前面那个会议
[00:06:24] 我会
[00:06:25] 对
[00:06:25] 好
[00:06:26] 嗯
[00:06:39] 嗯
[00:06:41] 准备
[00:06:42] 嗯
[00:06:42] 不做了
[00:06:43] 他去拉了一次
[00:06:57] 哦
[00:06:58] 我们买一个地方可以穿
[00:07:04] 那里美国的
[00:07:15] 原来
[00:07:17] 这个
[00:07:17] 哇
[00:07:19] 这个货
[00:07:19] 因为在
[00:07:20] 嗯
[00:07:20] 在那边吃完货了
[00:07:36] 然后
[00:07:36] 日
[00:08:01] 我也吃了
[00:08:02] 我也吃了
[00:08:03] 嗯
[00:08:03] 嗯
[00:08:03] 嗯
