Title: VI721952639943966721
[00:13:47] 他们看不到的
[00:13:49] 那你怕你的你的你的apple cloud被别人看到吗
[00:13:54] 这个不一样
[00:13:55] 你怕你的微信被别人看到吗
[00:13:56] 你微信你这些东西大家都有都看到呀
[00:13:59] 你怕吗
[00:14:03] 那也没有人看你啊
[00:14:04] 看我们呀
[00:14:05] 有谁看啊
[00:14:07] 他们都每次要做测试什么的做测试
[00:14:09] 是他用你的号
[00:14:10] 做测试他不会用我的号测的
[00:14:12] 我跟他们说过
[00:14:12] 不要不能用我的号测
[00:14:19] 呵呵呵呵
[00:14:20] 这个人好搞笑啊
[00:14:22] 是吗
[00:14:22] 前两天我客户和我说
[00:14:24] 他们高级的尹总孩子非常非常厉害
[00:14:27] 然后我就想起来
[00:14:29] 他说记得这个人
[00:14:40] 你记得这个人吗
[00:14:41] 那人肯定是见过你吧
[00:14:43] 我就说
[00:14:44] 但这个人谁啊
[00:14:48] 还是见过这个人
[00:14:50] 然后我估计他是就跟我差不多专业的
[00:14:53] 你怪是mlb之类的
[00:15:14] 我最近发现我真的需要context maximizing
[00:15:18] 因为我不context maximizing
[00:15:19] 我的人现在都不理不了解我了
[00:15:47] 你也很清楚
[00:15:48] 嗯
[00:15:50] 哈哈哈哈
[00:15:53] 挺挑的
[00:15:54] 哈哈哈哈
[00:16:02] 我都是哈哈
[00:16:02] 别人都觉得我是人机
[00:16:03] 你知道吗
[00:16:04] 真的吗
[00:16:05] 嗯
[00:16:07] 你哈哈
[00:16:08] 啊你现在在做什么呀
[00:16:09] 哈哈哈哈
[00:16:10] 哦原来是这样
[00:16:11] 哈哈哈哈
[00:16:13] 你为什么要这样啊
[00:16:15] 我就是这么说话的呀
[00:16:17] 这样感觉不是很nice
[00:16:19] 感觉太敷衍了
[00:16:28] 好吧
[00:16:28] 可是你真人讲话也不是这样说的
[00:16:47] 这里面有pro了吗
[00:16:49] 啊
[00:16:50] 这两个有pro吗
[00:16:52] 都没有pro吗
[00:16:52] 没有pro现在pro现在软
[00:16:53] 估计还在还在优化
[00:16:55] 哦
[00:16:57] 这听说很不错
[00:16:59] 主张质量也很不错
[00:18:03] 我的
[00:18:05] 定位都在mc上
[00:18:48] 啊
[00:18:50] 那个怎么关啊
[00:18:55] 啊
[00:18:56] 你现在在跨级
[00:18:59] what
[00:19:02] 你的实时定位会这样上传
[00:19:06] 怎么可怕
[00:19:08] 怎么怎么关掉
[00:19:20] 哈哈哈
[00:19:22] 好诡异啊
[00:19:25] 这个功能好诡异
[00:19:32] 在哪里看啊
[00:19:36] 我这里是location啊
[00:19:37] 我这里是location啊
[00:19:39] 我这里是location啊
[00:19:40] 你看你
[00:19:40] message里面
[00:19:47] 我没有message啊
[00:19:48] 为什么没有
[00:19:49] 那你为什么没有
[00:19:51] 哦在这在这在这对
[00:19:53] 对然后这里
[00:19:54] 哦
[00:19:56] 这里有location
[00:19:57] share with friends
[00:20:00] 哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦,哦 哦,哦,哦,哦,哦,哦,哦 哦,哦
[00:22:19] 这个,这个,这个,这个什么这个APP,嗯,嗯,网上适配手机适配做一下吧
[00:22:30] 什么叫,怎么了
[00:22:40] 怎么了
[00:22:42] 怎么了
[00:22:43] 那天他写的情报更冷了
[00:22:53] 然后他说你奶奶
[00:22:55] 冲了了晚上,然后又带着这个一项
[00:22:57] 哦,然后很快又把他拉回来了
[00:22:59] 但是就那个时候冷到了
[00:23:01] 因为第二天就自己剃了
[00:23:03] 然后就说这次就不去了
[00:23:06] 那你妈提到的
[00:23:08] 她就说上一次婚姻很大
[00:23:09] 然后她说上一次我说话
[00:23:11] 我都尿的那一天
[00:23:12] 还是这么讲的
[00:23:14] 我就觉得这个形容很搞笑
[00:23:26] 不是很搞笑
[00:23:28] 管理单位说手机不用做视频
[00:23:48] 你手机不用做视频
[00:23:50] 你这里一看上去就
[00:23:51] 就看上去就
[00:23:54] 你知道这家公司挺垃圾的
[00:23:55] 要么就直接就说
[00:23:58] 手机上看不了
[00:23:59] 要么就把它做好
[00:24:02] 不然就看起来就挺垃圾的
[00:24:04] 你看TroopLab这些公司
[00:24:06] 手机上肯定都是会做适配的
[00:24:09] 我们是手机上没有做适配
[00:24:17] 总之就是这样
[00:24:18] 没有说不想做
[00:24:24] 他说不用做
[00:24:25] 我说我怎么这么不做
[00:24:27] 你知道吗看这个
[00:24:38] 他就对着那个
[00:24:40] 我知道
[00:24:41] 然后就很烦你
[00:24:44] 然后他就说
[00:24:44] 我说人家都嫌你烦了
[00:24:46] 他追着人在跑
[00:24:49] 好
[00:24:49] 之前不怕了
[00:24:52] 他说他不知道机器人
[00:24:55] 他机器人
[00:24:56] 机器人
[00:24:57] 挡着不让人家走
[00:25:04] 后来我们还追过去
[00:25:08] 我知道
[00:26:42] 你找一个还不错的公司
[00:27:53] 你找一下他们API
[00:27:56] 你手机登录一下
[00:27:57] 你如果能找到一家还不错的公司
[00:27:59] API他们的管理端
[00:28:01] 跟我们这个长得一样
[00:28:02] 都是不适配
[00:28:04] 然后看起来很有bug的
[00:28:06] 你找到我们就不用做
[00:28:08] 如果你找不到
[00:28:10] 那我就说你就得做
[00:28:13] 要么就直接就说
[00:28:15] 手机不适配
[00:28:17] 就把你去电脑上登
[00:28:19] 要么就把手机适配做好
[00:28:20] 分成两个里面总归选选一个
[00:33:01] 是呀
[00:33:05] 怎么吃的
[00:34:36] 你不是喜欢穿厚外的吗
[00:38:15] 你的头错了是吗
[00:38:17] 我比较喜欢实在一点的
[00:38:33] 这个
[00:38:34] 我觉得那个太酥了
[00:38:58] 你要不要吃这个
[00:38:59] 这个bacon spice
[00:40:00] 你中午想吃什么
[00:40:41] 很久以前要吃饭
[00:41:04] 你吃什么
[00:41:08] 你的想法是吃点清淡
[00:41:15] 不清淡
[00:41:23] 我好像会啊
[00:41:25] 但我吃饭比以前
[00:41:48] 但你就吃不了东西了
[00:41:50] 因为很疼
[00:41:51] 我就是这样喝
[00:41:54] 因为我吃饭比以前还要吃饭
[00:41:56] 然后太疼了
[00:41:58] 你多喝点奶茶
[00:41:59] 喝的也疼
[00:42:01] 喝怎么会疼啊
[00:42:05] 为什么
[00:42:06] 这个怎么感觉
[00:42:13] 这感觉
[00:42:19] 这不是我们平常走的路啊
[00:42:21] 师傅收到了啊
[00:42:30] 师傅你没选那个什么高速什么的吗
[00:42:38] 没显示上
[00:42:39] 没显示上哪更快一点那种
[00:42:42] 那个慢两分钟没走那种
[00:42:45] 有可能
[00:42:49] 是不是
[00:43:41] 我觉得我这么觉得
[00:43:43] 很多吃饭群众都说
[00:43:44] 比较飘了吧
[00:43:45] 就去追觅的那个车企做过的
[00:43:57] 就比像在其他车企
[00:43:59] 他的时候别人会当做一个小花
[00:44:01] 是吗
[00:44:02] 我给200个比喻
[00:44:11] 太多了
[00:44:19] 三个月内就会把他们给干掉了
[00:44:23] 就抓住独立
[00:44:25] 嗯
[00:44:28] 他说他们现在剩下几百万
[00:44:32] 然后那他们已经收入已经已经几千万了
[00:44:36] 他们都需要上吗
[00:44:37] 需要上会提前下货吗
[00:45:00] 他们直接就让他们现在想让想要追觅
[00:45:03] 能够再给一点
[00:45:04] 现在追觅
[00:45:05] 现在好像自己自身自身难保
[00:45:11] 因为本来是想着
[00:45:14] 我也没被抓进去
[00:45:16] 那时候被禁言而已
[00:45:18] 被人举报了
[00:45:20] 说话说话都被人举报了
[00:45:22] 就被禁言了
[00:45:25] 然后被什么扣我死和因斯坦举报了
[00:45:31] 然后然后就被禁言了
[00:45:32] 然后然后那时候然后他们就是跟政府一起合资
[00:45:42] 然后做投资嘛
[00:45:43] 然后那些因为事情太大
[00:45:48] 好像政府也不太想
[00:45:49] 所以政府就不想出资
[00:45:51] 所以他们现在就有些拿不到钱
[00:45:53] 我觉得就是他比美军发疯的还早一点
[00:46:16] 美军其实是没发疯
[00:46:21] 比如在他那个
[00:46:23] 美军在治疗他那个小女孩做出来这个车也做出来
[00:46:30] 然后一车做出来
[00:46:36] 就是想抄那个小女孩的地链
[00:46:38] 其实也想做出来
[00:46:54] 现在没想出来自己做
[00:47:02] 嗯
[00:47:06] 太闪了
[00:47:18] 那刚才光子月轩自己去融资之后不太融得到嘛
[00:47:21] 因为投资人都不喜欢追觅其他的东西
[00:47:31] 但我觉得他们那个硬件我觉得是做确实完成都还挺高的
[00:47:39] 光子月轩那个硬件
[00:47:44] 我们是公司里有的有一台啊
[00:47:52] 他们去过来一个
[00:48:01] 8k了
[00:48:05] 嗯
[00:48:08] 就好不知道
[00:48:10] 他们那个专门是影像的呀
[00:48:23] 他们还刚开始卖吧
[00:48:25] 应该就线上的话
[00:48:28] 线上的话
[00:48:28] 渠道的话可能大头在渠道线上的话
[00:48:31] 应该能卖几百万吧
[00:48:39] 卖的贵吗
[00:48:41] 卖的贵
[00:48:42] 你还好吧
[00:48:42] 两千多块钱
[00:48:48] 搞硬件就是要花好多钱去做marketing
[00:49:08] 对
[00:49:14] 你知道现在储存很贵
[00:49:18] 所以都是可以的
[00:49:26] 嗯
[00:49:27] 所以所以都贵了
[00:49:29] 嗯
[00:49:30] 那储存是那个储存
[00:49:37] 然后从话给他是插卡是贵了
[00:49:42] 内存卡贵了
[00:49:44] 嗯
[00:49:46] 嗯
[00:49:47] 内存卡不是都可以自己买
[00:49:51] 那你SOC里面都是要内存的呀
[00:49:53] 你不是只是内存卡呀
[00:50:13] 内存卡越涨越多
[00:50:15] 内存涨了好多啊,内存涨了七八倍吧
[00:50:25] 嗯?
[00:50:31] 为什么内存涨了?
[00:50:35] 因为这些内存他们都去卖给计算中心了呀
[00:50:42] 因为计算中心利润高呀
[00:50:46] 所以他们那些做内存的肯定都去
[00:50:49] 都把这些内存卖给计算中心了
[00:50:51] 就不会去卖给这种消费电子,消费电子的利润太薄了
[00:50:56] SKNX呀
[00:50:59] SKNX?
[00:51:01] 非常非常牛
[00:51:04] 他的股票是不是要涨了?
[00:51:07] 对,已经涨了,涨了好多好多了
[00:51:10] 你可以看一下,SKNX超级超级超级多
[00:51:14] 嗯,对
[00:51:19] 但是你确实也可以目前能够看到未来
[00:51:32] AI算力中心指挥率都不会更少
[00:51:35] 所以像什么光缆啊,排底电缆啊
[00:51:39] 其实未来都会需求都很大
[00:51:41] 所以你像我爸公司你可以买一点
[00:51:43] 等等
[00:51:44] 说实在
[00:51:45] 你看我只有美股
[00:51:47] 你可以美股那些光了
[00:51:49] 你可以看一下美股的那些做,做那个什么
[00:51:53] 光了
[00:51:54] 嗯
[00:53:10] 光的处处上
[00:53:12] 就最近吧
[00:53:13] 嗯?
[00:53:50] 欧巴也处最近啊
[00:53:55] 进欧巴AI,你最近进欧巴AI,Atopic,SpaceX都要上市
[00:54:00] 嗯
[00:54:18] SpaceX现在可以上市吗?
[00:54:25] SpaceX现在可以上市吗?
[00:54:28] 嗯
[00:55:01] 排底现在也上市
[00:55:11] 嗯
[00:55:36] 然后我买的其他的rocket,stripe也要上市,dataflix也要上市
[00:57:12] 嗯,前面,前面,这里有,你前面吧
[00:59:00] 对,你往前走,然后右转
[00:59:03] 往前走,对,往前走
[00:59:05] 另外一个门,南门
[00:59:07] 哦,那个吗
[00:59:08] 嗯,对,你往前走,然后转,这我都不知道是什么门
[00:59:14] 往前走,右转,对,对,对,左转,左转,左转
[00:59:17] 往前面走,然后过了那个,过了这个商场
[00:59:20] 然后左转
[00:59:21] 我们今天什么时候能把东东西弄好,我待会去办公室
[00:59:56] 不知道什么时候能弄
[01:00:00] 你一点钱总会得弄好吧
[01:00:03] 你一点钱都不弄好
[01:00:04] 你怎么去这旁边
[01:00:05] 对啊
[01:00:06] 所以要努力一点钱弄好
[01:00:08] 不行就让你妈打车
[01:00:09] 主要我们俩那有个阿姨要来
[01:00:13] 但是那又不是怪
[01:00:16] 我不能说得算
[01:00:18] 他们那边要办要办多久呢
[01:00:25] 上次不是也办了一年
[01:00:26] 我们这还要再拍出所办
[01:00:29] 我也想办
[01:00:35] 你跟那个人打过车吗
[01:01:24] 不
[01:01:24] 说过来啊
[01:01:31] 我说今天过来
[01:01:39] 我不知道呀
[01:01:40] 你们那边应该属于
[01:01:41] 属于干嘛
[01:01:46] 要走哪个派出所啊
[01:01:53] 去柳局那边吗应该
[01:01:55] 我也想去柳局
[01:01:56] 他让我们先去派出所
[01:02:23] 这边吗
[01:02:45] 对左边
[01:02:46] 要在后面吗
[01:03:14] 这里右边
[01:03:15] 然后左边下去对
[01:03:20] 然后往前
[01:03:43] 一直走是吧
[01:03:57] 什么过来
[01:03:58] 往后往后
[01:03:58] 左边
[01:04:11] 左边
[01:04:13] 左边
[01:05:11] 我们到了车库里吧
[01:05:12] 那走出来
[01:05:13] 前面走出来
[01:05:21] 嗯
[01:05:22] 是不是
[01:05:33] 我去是不是
[01:05:51] 这往前
[01:05:56] 这往前吗
[01:06:19] 那是那个前面要只是拍的地方在走出来
[01:06:20] 对前面就是在这里走出来
[01:06:32] 然后再走
[01:06:33] 对
[01:06:34] 这个很好喝
[01:06:42] 也不是很熟
[01:06:44] 我上去
